date,tweets,increase,country
03/26/2020,46671,2371,US
03/27/2020,49905,3234,US
03/28/2020,54374,4469,US
03/29/2020,57963,3589,US
03/30/2020,59196,1233,US
03/31/2020,61185,1989,US
04/01/2020,61841,656,US
04/02/2020,63123,1282,US
04/03/2020,65286,2163,US
04/04/2020,67530,2244,US
04/05/2020,69520,1990,US
04/06/2020,71232,1712,US
04/07/2020,72848,1616,US
04/08/2020,73462,614,US
04/09/2020,73904,442,US
04/10/2020,75783,1879,US
04/11/2020,77373,1590,US
04/12/2020,78879,1506,US
04/13/2020,80364,1485,US
04/14/2020,81588,1224,US
04/15/2020,83117,1529,US
04/16/2020,84533,1416,US
04/17/2020,85608,1075,US
04/18/2020,87080,1472,US
04/19/2020,88679,1599,US
04/20/2020,90054,1375,US
04/21/2020,91670,1616,US
04/22/2020,93123,1453,US
04/23/2020,94785,1662,US
04/24/2020,96195,1410,US
04/25/2020,96753,558,US
04/26/2020,97678,925,US
04/27/2020,98838,1160,US
04/28/2020,100097,1259,US
04/29/2020,101589,1492,US
04/30/2020,102855,1266,US
05/01/2020,104179,1324,US
05/02/2020,105596,1417,US
05/03/2020,106658,1062,US
05/04/2020,107089,431,US
05/05/2020,108456,1367,US
05/06/2020,109784,1328,US
05/07/2020,110826,1042,US
05/08/2020,111983,1157,US
05/09/2020,113066,1083,US
05/10/2020,113840,774,US
05/11/2020,114664,824,US
05/12/2020,115793,1129,US
05/13/2020,116216,423,US
05/14/2020,116372,156,US
01/21/2020,1,0,AU
01/23/2020,2,1,AU
01/24/2020,3,1,AU
01/25/2020,7,4,AU
01/26/2020,12,5,AU
01/27/2020,18,6,AU
01/28/2020,19,1,AU
01/29/2020,22,3,AU
01/31/2020,26,4,AU
02/01/2020,30,4,AU
02/02/2020,38,8,AU
02/03/2020,40,2,AU
02/04/2020,45,5,AU
02/05/2020,46,1,AU
02/06/2020,48,2,AU
02/07/2020,50,2,AU
02/08/2020,51,1,AU
02/09/2020,54,3,AU
02/11/2020,58,4,AU
02/12/2020,61,3,AU
02/17/2020,63,2,AU
02/19/2020,65,2,AU
02/20/2020,67,2,AU
02/21/2020,69,2,AU
02/22/2020,72,3,AU
02/23/2020,74,2,AU
02/24/2020,75,1,AU
02/25/2020,78,3,AU
02/28/2020,81,3,AU
02/29/2020,84,3,AU
03/12/2020,86,2,AU
03/13/2020,135,49,AU
03/14/2020,186,51,AU
03/15/2020,250,64,AU
03/16/2020,323,73,AU
03/17/2020,406,83,AU
03/18/2020,511,105,AU
03/19/2020,584,73,AU
03/20/2020,661,77,AU
03/21/2020,759,98,AU
03/22/2020,858,99,AU
03/23/2020,953,95,AU
03/24/2020,1064,111,AU
03/25/2020,1135,71,AU
03/26/2020,1234,99,AU
03/27/2020,1279,45,AU
03/28/2020,1394,115,AU
03/29/2020,1477,83,AU
03/30/2020,1493,16,AU
03/31/2020,1563,70,AU
04/01/2020,1602,39,AU
04/02/2020,1621,19,AU
04/03/2020,1688,67,AU
04/04/2020,1741,53,AU
04/05/2020,1801,60,AU
04/06/2020,1855,54,AU
04/07/2020,1899,44,AU
04/08/2020,1905,6,AU
04/09/2020,1918,13,AU
04/10/2020,1964,46,AU
04/11/2020,2011,47,AU
04/12/2020,2058,47,AU
04/13/2020,2103,45,AU
04/14/2020,2142,39,AU
04/15/2020,2181,39,AU
04/16/2020,2209,28,AU
04/17/2020,2234,25,AU
04/18/2020,2277,43,AU
04/19/2020,2326,49,AU
04/20/2020,2372,46,AU
